Year,Reported # Disasters,Total Economic Damage,
1900,5,30000000,
1903,8,480000000,
1906,17,650750000,
1907,5,30000000,
1908,4,116000000,
1911,5,20000000,
1912,7,35000000,
1913,5,200000000,
1914,6,20000000,
1915,7,121000000,
1917,6,50000000,
1918,7,129000000,
1919,4,25000000,
1920,7,20000000,
1922,6,8000000,
1923,12,610000000,
1925,6,45000000,
1926,15,104000000,
1927,12,102230000,
1928,17,75000000,
1929,6,55000000,
1930,14,40000000,
1931,12,1447500000,
1932,8,30000000,
1933,10,66500000,
1934,9,50000000,
1935,11,8000000,
1936,11,21000000,
1937,7,438000000,
1938,7,306000000,
1939,11,940000000,
1940,17,43000000,
1942,9,28000000,
1943,12,1000000000,
1944,12,100000000,
1945,12,480000000,
1946,15,25500000,
1947,12,130000000,
1948,23,1043000000,
1949,20,159200000,
1950,23,201000000,
1951,27,1528250000,
1952,24,152900000,
1953,34,984310000,
1954,33,887000000,
1955,30,877000000,
1956,36,25000000,
1957,29,175000000,
1958,23,530100000,
1959,33,698200000,
1960,40,1264041000,
1961,28,480400000,
1962,28,1529000000,
1963,41,1719090000,
1964,60,3120350000,
1965,61,2527618000,
1966,80,2868831000,
1967,70,1523826000,
1968,77,1022238000,
1969,62,2390299000,
1970,77,3076594000,
1971,61,1688589000,
1972,63,4090413000,
1973,60,2407043000,
1974,68,4064944000,
1975,63,3281365000,
1976,91,14240626000,
1977,121,10187668000,
1978,115,6265521000,
1979,120,4542933000,
1980,133,32870960000,
1981,138,13919519000,
1982,153,11466393000,
1983,205,16756964000,
1984,146,9004957000,
1985,165,17126100000,
1986,150,14117912000,
1987,191,14778065000,
1988,200,26383612000,
1989,172,27426740000,
1990,278,48629822000,
1991,228,38743461000,
1992,204,54998163000,
1993,260,50992889000,
1994,246,71133574000,
1995,248,154967000000,
1996,227,43327243000,
1997,261,40258446000,
1998,288,84131040000,
1999,337,112248000000,
2000,411,46586436000,
2001,376,27074439000,
2002,421,52078152000,
2003,360,69839150000,
2004,350,136378000000,
2005,432,214205000000,
2006,401,34104949000,
2007,414,74420257000,
2008,352,190849000000,
2009,344,46776393000,
2010,393,132194000000,
2011,334,364093000000,
2012,346,156692000000,
2013,332,119484000000,
2014,320,97769314000,
2015,380,84120138000,
2016,325,147781000000,
2017,276,144109000000,
2018,282,107772000000,